ID_MUNICIPIO,PARTIDO,TX_APROVACAO_5ANO,TX_REPROVACAO_5ANO,TX_ABANDONO_5ANO,TX_APROVACAO_9ANO,TX_REPROVACAO_9ANO,TX_ABANDONO_9ANO
1100015,PODE,0.936,0.056,0.008,0.963,0.0,0.037
1100023,PATRIOTA,0.928,0.066,0.006,0.951,0.043,0.006
1100049,PSD,0.987,0.013,0.0,0.992,0.008,0.0
1100064,PSB,0.989,0.011,0.0,0.982,0.018,0.0
1100080,REPUBLICANOS,0.862,0.133,0.005,0.828,0.138,0.034
1100098,PODE,0.996,0.004,0.0,0.989,0.0,0.011
1100114,PSDB,0.997,0.003,0.0,1.0,0.0,0.0
1100122,MDB,0.984,0.016,0.0,0.992,0.008,0.0
1100148,PP,1.0,0.0,0.0,1.0,0.0,0.0
1100189,PATRIOTA,0.987,0.013,0.0,0.955,0.045,0.0
1100254,PSDB,0.942,0.058,0.0,1.0,0.0,0.0
1100288,MDB,0.985,0.015,0.0,0.961,0.039,0.0
1100296,PODE,0.873,0.127,0.0,1.0,0.0,0.0
1100304,PV,0.968,0.032,0.0,0.954,0.046,0.0
1100320,MDB,0.993,0.003,0.004,0.974,0.0,0.026
1100338,DEM,0.912,0.085,0.003,0.892,0.068,0.04
1100346,PV,0.974,0.026,0.0,0.973,0.0,0.027
1100379,DEM,0.944,0.056,0.0,0.908,0.034,0.058
1100403,DEM,0.921,0.069,0.01,0.926,0.074,0.0
1100601,DEM,0.985,0.015,0.0,1.0,0.0,0.0
1100700,PDT,0.866,0.134,0.0,0.852,0.148,0.0
1100809,PATRIOTA,0.864,0.127,0.009,0.909,0.023,0.068
1100924,DEM,0.994,0.006,0.0,1.0,0.0,0.0
1100940,DEM,0.893,0.107,0.0,0.946,0.023,0.031
1101005,PP,0.842,0.158,0.0,0.931,0.069,0.0
1101203,PSD,0.959,0.041,0.0,0.958,0.014,0.028
1101302,PDT,1.0,0.0,0.0,1.0,0.0,0.0
1101401,PSD,0.964,0.036,0.0,0.941,0.059,0.0
1101435,PSD,0.88,0.12,0.0,1.0,0.0,0.0
1101450,PSB,1.0,0.0,0.0,0.97,0.03,0.0
1101492,MDB,1.0,0.0,0.0,0.989,0.011,0.0
1101559,PT,0.938,0.062,0.0,0.946,0.054,0.0
1101609,PSD,1.0,0.0,0.0,1.0,0.0,0.0
1101708,PP,1.0,0.0,0.0,0.983,0.017,0.0
1101807,PROS,0.952,0.048,0.0,1.0,0.0,0.0
1200013,MDB,0.953,0.043,0.004,0.92,0.0,0.08
